sentence_index;sentence;polaridad
1117;It 's a lovely film with lovely performances by Buy and Accorsi .;Positivo
1118;No one goes unindicted here , which is probably for the best .;Positivo
1119;And if you 're not nearly moved to tears by a couple of scenes , you 've got ice water in your veins .;Positivo
1120;A warm , funny , engaging film .;Positivo
1121;Uses sharp humor and insight into human nature to examine class conflict , adolescent yearning , the roots of friendship and sexual identity .;Positivo
1122;Half Submarine flick , Half Ghost Story , All in one criminally neglected film;Positivo
1123;Entertains by providing good , lively company .;Positivo
1124;Dazzles with its fully-written characters , its determined stylishness -LRB- which always relates to characters and story -RRB- and Johnny Dankworth 's best soundtrack in years .;Positivo
1125;Visually imaginative , thematically instructive and thoroughly delightful , it takes us on a roller-coaster ride from innocence to experience without even a hint of that typical kiddie-flick sentimentality .;Positivo
1126;Nothing 's at stake , just a twisty double-cross you can smell a mile away -- still , the derivative Nine Queens is lots of fun .;Positivo
1127;Unlike the speedy wham-bam effect of most Hollywood offerings , character development -- and more importantly , character empathy -- is at the heart of Italian for Beginners .;Positivo
1128;You 'll gasp appalled and laugh outraged and possibly , watching the spectacle of a promising young lad treading desperately in a nasty sea , shed an errant tear .;Positivo
1129;The band 's courage in the face of official repression is inspiring , especially for aging hippies -LRB- this one included -RRB- .;Positivo
1131;A beguiling splash of pastel colors and prankish comedy from Disney .;Positivo
1132;As surreal as a dream and as detailed as a photograph , as visually dexterous as it is at times imaginatively overwhelming .;Positivo
1133;-LRB- Lawrence bounces -RRB- all over the stage , dancing , running , sweating , mopping his face and generally displaying the wacky talent that brought him fame in the first place .;Positivo
1134;The film serves as a valuable time capsule to remind us of the devastating horror suffered by an entire people .;Positivo
1135;What 's surprising about Full Frontal is that despite its overt self-awareness , parts of the movie still manage to break past the artifice and thoroughly engage you .;Positivo
1136;Whether you like rap music or loathe it , you ca n't deny either the tragic loss of two young men in the prime of their talent or the power of this movie .;Positivo
1137;... an otherwise intense , twist-and-turn thriller that certainly should n't hurt talented young Gaghan 's resume .;Positivo
1139;There 's ... tremendous energy from the cast , a sense of playfulness and excitement that seems appropriate .;Positivo
1140;"It moves quickly , adroitly , and without fuss ; it does n't give you time to reflect on the inanity -- and the Cold War datedness -- of its premise .";Positivo
1141;A deep and meaningful film .;Positivo
1142;The film 's welcome breeziness and some unbelievably hilarious moments -- most portraying the idiocy of the film industry -- make it mostly worth the trip .;Positivo
1143;It 's a remarkably solid and subtly satirical tour de force .;Positivo
1144;Enormously entertaining for moviegoers of any age .;Positivo
1145;A poignant , artfully crafted meditation on mortality .;Positivo
1146;A rarity among recent Iranian films : It 's a comedy full of gentle humor that chides the absurdity of its protagonist 's plight .;Positivo
1147;Not only is Undercover Brother as funny , if not more so , than both Austin Powers films , but it 's also one of the smarter , savvier spoofs to come along in some time .;Positivo
1148;In a way , the film feels like a breath of fresh air , but only to those that allow it in .;Positivo
1149;Woody Allen 's latest is an ambling , broad comedy about all there is to love -- and hate -- about the movie biz .;Positivo
1150;It 's a stunning lyrical work of considerable force and truth .;Positivo
1151;The inhospitability of the land emphasizes the spare precision of the narratives and helps to give them an atavistic power , as if they were tales that had been handed down since the beginning of time .;Positivo
1152;-LRB- NÃ¦s -RRB- directed the stage version of Elling , and gets fine performances from his two leads who originated the characters on stage .;Positivo
1155;A coda in every sense , The Pinochet Case splits time between a minute-by-minute account of the British court 's extradition chess game and the regime 's talking-head survivors .;Positivo
1157;-LRB- T -RRB- his beguiling Belgian fable , very much its own droll and delicate little film , has some touching things to say about what is important in life and why .;Positivo
1159;But taken as a stylish and energetic one-shot , The Queen of the Damned can not be said to suck .;Positivo
1160;You wo n't like Roger , but you will quickly recognize him .;Positivo
1161;And that 's a big part of why we go to the movies .;Positivo
1162;While the stoically delivered hokum of Hart 's War is never fun , it 's still a worthy addition to the growing canon of post-Saving Private Ryan tributes to the greatest generation .;Positivo
1163;We know the plot 's a little crazy , but it held my interest from start to finish .;Positivo
1164;A sober and affecting chronicle of the leveling effect of loss .;Positivo
1165;A fast , funny , highly enjoyable movie .;Positivo
1168;A smart , witty follow-up .;Positivo
1169;While the ideas about techno-saturation are far from novel , they 're presented with a wry dark humor .;Positivo
1170;An infectious cultural fable with a tasty balance of family drama and frenetic comedy .;Positivo
1171;Although occasionally static to the point of resembling a stage play , the film delivers a solid mixture of sweetness and laughs .;Positivo
1173;Add yet another hat to a talented head , Clooney 's a good director .;Positivo
1174;Building slowly and subtly , the film , sporting a breezy spontaneity and realistically drawn characterizations , develops into a significant character study that is both moving and wise .;Positivo
1176;Chilling , well-acted , and finely directed : David Jacobson 's Dahmer .;Positivo
1177;A swashbuckling tale of love , betrayal , revenge and above all , faith .;Positivo
1178;Without ever becoming didactic , director Carlos Carrera expertly weaves this novelistic story of entangled interrelationships and complex morality .;Positivo
1179;It 's a coming-of-age story we 've all seen bits of in other films -- but it 's rarely been told with such affecting grace and cultural specificity .;Positivo
1180;A literate presentation that wonderfully weaves a murderous event in 1873 with murderous rage in 2002 .;Positivo
1181;Makes even the claustrophobic on-board quarters seem fun .;Positivo
1182;This is as respectful a film as Byatt fans could hope for , though lovers of the book may wonder why it 's necessary .;Positivo
1183;One of the best films of the year with its exploration of the obstacles to happiness faced by five contemporary individuals ... a psychological masterpiece .;Positivo
1184;Not far beneath the surface , this reconfigured tale asks disturbing questions about those things we expect from military epics .;Positivo
1185;For the most part Stevens glides through on some solid performances and witty dialogue .;Positivo
1186;Broomfield turns his distinctive ` blundering ' style into something that could really help clear up the case .;Positivo
1187;Against all odds in heaven and hell , it creeped me out just fine .;Positivo
1188;It 's refreshing to see a girl-power movie that does n't feel it has to prove anything .;Positivo
1189;It 's worth seeing just on the basis of the wisdom , and at times , the startling optimism , of the children .;Positivo
1190;A rigorously structured and exquisitely filmed drama about a father and son connection that is a brief shooting star of love .;Positivo
1191;This surreal Gilliam-esque film is also a troubling interpretation of Ecclesiastes .;Positivo
1192;A rewarding work of art for only the most patient and challenge-hungry moviegoers .;Positivo
1194;May be far from the best of the series , but it 's assured , wonderfully respectful of its past and thrilling enough to make it abundantly clear that this movie phenomenon has once again reinvented itself for a new generation .;Positivo
1195;A compelling Spanish film about the withering effects of jealousy in the life of a young monarch whose sexual passion for her husband becomes an obsession .;Positivo
1196;Huston nails both the glad-handing and the choking sense of hollow despair .;Positivo
1197;may not have generated many sparks , but with his affection for Astoria and its people he has given his tale a warm glow .;Positivo
1198;A delirious celebration of the female orgasm .;Positivo
1199;Exquisitely nuanced in mood tics and dialogue , this chamber drama is superbly acted by the deeply appealing veteran Bouquet and the chilling but quite human Berling .;Positivo
1200;It 's fascinating to see how Bettany and McDowell play off each other .;Positivo
1201;The film is beautifully mounted , but , more to the point , the issues are subtly presented , managing to walk a fine line with regard to the question of Joan 's madness .;Positivo
1202;Leigh 's film is full of memorable performances from top to bottom .;Positivo
1204;Jose Campanella delivers a loosely autobiographical story brushed with sentimentality but brimming with gentle humor , bittersweet pathos , and lyric moments that linger like snapshots of memory .;Positivo
