sentence_index;sentence;polaridad
61;Singer\/composer Bryan Adams contributes a slew of songs -- a few potential hits , a few more simply intrusive to the story -- but the whole package certainly captures the intended , er , spirit of the piece .;Negativo
63;Yet the act is still charming here .;Negativo
64;Whether or not you 're enlightened by any of Derrida 's lectures on `` the other '' and `` the self , '' Derrida is an undeniably fascinating and playful fellow .;Negativo
68;Just the labour involved in creating the layered richness of the imagery in this chiaroscuro of madness and light is astonishing .;Negativo
72;Part of the charm of Satin Rouge is that it avoids the obvious with humour and lightness .;Positivo
131;`` Extreme Ops '' exceeds expectations .;Positivo
132;Good fun , good action , good acting , good dialogue , good pace , good cinematography .;Positivo
133;You Should Pay Nine Bucks for This : Because you can hear about suffering Afghan refugees on the news and still be unaffected .;Negativo
214;Australian actor\/director John Polson and award-winning English cinematographer Giles Nuttgens make a terrific effort at disguising the obvious with energy and innovation .;Negativo
228;You walk out of The Good Girl with mixed emotions -- disapproval of Justine combined with a tinge of understanding for her actions .;Positivo
387;If you love reading and\/or poetry , then by all means check it out .;Negativo
388;You 'll probably love it .;Positivo
446;Grenier is terrific , bringing an unforced , rapid-fire delivery to Toback 's Heidegger - and Nietzsche-referencing dialogue .;Negativo
486;-LRB- Taymor -RRB- utilizes the idea of making Kahlo 's art a living , breathing part of the movie , often catapulting the artist into her own work .;Negativo
487;This is n't a new idea .;Positivo
488;It 's been done before but never so vividly or with so much passion .;Positivo
703;Much of the movie 's charm lies in the utter cuteness of Stuart and Margolo .;Positivo
705;The path Ice Age follows most closely , though , is the one established by Warner Bros. giant Chuck Jones , who died a matter of weeks before the movie 's release .;Positivo
742;... spiced with humor -LRB- ' I speak fluent flatula , ' advises Denlopp after a rather , er , bubbly exchange with an alien deckhand -RRB- and witty updatings -LRB- Silver 's parrot has been replaced with Morph , a cute alien creature who mimics everyone and everything around -RRB-;Positivo
893;`` Auto Focus '' works as an unusual biopic and document of male swingers in the Playboy era;Positivo
894;If Mr. Zhang 's subject matter is , to some degree at least , quintessentially American , his approach to storytelling might be called Iranian .;Positivo
